year,air_temp_avg
1886,6.649315068493145
1887,6.638630136986303
1888,5.585792349726778
1889,7.441643835616441
1890,7.251780821917806
1891,7.179178082191783
1892,6.016666666666668
1893,5.870410958904114
1894,8.210410958904108
1895,6.94630136986301
1896,7.582240437158477
1897,7.32301369863014
1898,7.211780821917809
1899,6.993972602739727
1900,7.732876712328772
1901,7.4161643835616475
1902,7.2824657534246615
1903,6.730136986301369
1904,5.886065573770498
1905,6.44328767123287
1906,7.3460273972602685
1907,6.243013698630136
1908,7.601639344262295
1909,6.689589041095893
1910,7.359726027397264
1911,7.847945205479451
1912,5.8346994535519094
1913,7.5367123287671145
1914,7.305753424657525
1915,6.840273972602738
1916,6.616939890710388
1917,4.811506849315068
1918,7.1421917808219195
1919,7.22794520547945
1920,6.871038251366126
1921,8.942191780821922
1922,7.941369863013703
1923,7.285205479452057
1924,5.698087431693989
1925,6.936164383561641
1926,6.212876712328773
1927,7.232602739726026
1928,7.4448087431694
1929,5.899178082191782
1930,7.734520547945202
1931,9.741917808219178
1932,7.358469945355192
1933,8.134794520547944
1934,8.327123287671231
1935,6.9775342465753365
1936,6.876229508196717
1937,6.862191780821914
1938,8.49095890410959
1939,8.789589041095894
1940,6.743989071038251
1941,8.619452054794523
1942,7.478904109589046
1943,6.722739726027397
1944,7.8775956284153
1945,6.870684931506845
1946,8.555616438356159
1947,7.510684931506855
1948,7.575683060109284
1949,8.151232876712331
1950,6.185753424657537
1951,6.012876712328769
1952,7.81502732240437
1953,8.592054794520546
1954,8.11643835616438
1955,7.891506849315065
1956,7.492622950819672
1957,7.263835616438356
1958,7.135890410958908
1959,7.033972602739722
1960,7.412841530054649
1961,7.8356164383561655
1962,7.2654794520547945
1963,7.396164383561638
1964,8.628688524590162
1965,7.313150684931506
1966,7.040547945205478
1967,6.846301369863014
1968,8.137158469945353
1969,7.113150684931509
1970,7.710684931506848
1971,8.00438356164384
1972,6.453005464480878
1973,8.793424657534244
1974,7.897534246575346
1975,8.491506849315067
1976,7.492622950819673
1977,7.915616438356166
1978,6.644383561643839
1979,6.600000000000003
1980,7.022404371584695
1981,8.08301369863013
1982,6.809863013698628
1983,7.509863013698629
1984,7.739617486338801
1985,7.0553424657534265
1986,7.941095890410956
1987,9.4213698630137
1988,8.19535519125683
1989,7.153150684931504
1990,8.966027397260277
1991,8.762739726027398
1992,8.018852459016392
1993,7.953698630136986
1994,8.254520547945205
1995,8.381917808219185
1996,6.483606557377053
1997,7.370136986301369
1998,9.949315068493151
1999,8.954246575342472
2000,8.154918032786881
2001,8.957534246575342
2002,8.833150684931505
2003,7.964109589041094
2004,8.489617486338796
2005,9.210136986301373
2006,9.3813698630137
2007,8.97287671232877
2008,7.442349726775958
2009,7.696164383561641
2010,9.11753424657534
2011,8.786575342465756
2012,10.759836065573774
2013,7.67095890410959
2014,7.138082191780824
2015,9.055068493150676
2016,9.634426229508195
2017,9.084383561643836
2018,8.289863013698627
2019,7.924657534246576
